Number One,Number Two,Their GCD,Time Spent(nanoseconds)
942,1131,3,110
8772,2666,86,110
3385,7707,1,190
4658,9485,1,160
9666,4100,2,170
9555,8077,1,160
4992,1309,1,160
1150,8779,1,160
6150,6672,6,160
2812,3289,1,150
8043,3578,1,140
9130,2425,5,140
9288,4450,2,150
167,6229,1,120
7865,9431,1,140
8463,2434,1,160
8901,5500,1,210
6332,2568,4,140
2629,9457,1,150
5489,7067,1,140
3653,1545,1,140
7875,7382,1,140
7150,758,2,150
5699,3438,1,160
7151,8638,1,140
3300,719,1,130
2469,1377,3,130
3935,7892,1,110
934,7124,2,130
9563,8602,1,130
8960,5211,1,180
4639,1445,1,140
6680,5241,1,150
5419,9749,1,150
81,3697,1,130
5444,854,2,110
6743,6552,1,140
8614,6685,1,140
2126,3513,1,150
8059,3292,1,140
377,5674,1,110
742,9134,2,120
5173,5489,1,140
4881,9809,1,130
2930,6971,1,150
8263,5445,1,120
9455,7390,5,130
7349,5762,1,180
2021,2663,1,140
1390,7867,1,140
556,5508,4,120
7691,8786,1,90
6247,9956,1,140
7160,2814,2,130
6034,2629,1,180
8136,2345,1,130
2430,1870,10,120
1687,8626,1,120
5493,4738,1,160
2831,3243,1,160
2753,2777,1,120
2980,8096,4,140
5093,5642,1,140
1128,5825,1,130
947,283,1,120
2280,2947,1,160
6941,3904,1,130
4514,1875,1,130
7136,2664,8,120
6396,8937,3,140
3318,4088,14,120
2990,2834,26,110
8476,4739,1,180
3206,5664,2,120
8722,7889,49,110
5215,3684,1,140
8859,3257,1,130
1666,2765,7,120
1416,1462,2,130
7425,9179,1,150
7336,2039,1,130
935,8885,5,100
3159,2495,1,100
7976,3628,4,120
8390,6923,1,210
8161,4187,1,140
8194,7245,1,170
3868,1913,1,130
9471,7358,1,150
1893,6253,1,130
3086,1013,1,120
9239,9837,1,130
4491,4731,3,120
9894,6381,3,150
8714,8065,1,140
4129,6977,1,150
9940,8690,10,130
9993,7404,3,150
3818,7713,1,130
5020,8744,4,140
8875,7000,125,150
4463,2175,1,100
6461,559,13,130
1128,4728,24,110
4472,6292,52,120
7979,2130,1,140
4299,4237,1,120
3301,4540,1,140
9361,3140,1,130
1922,6562,2,130
9453,7181,1,160
9522,6271,1,150
6654,767,1,130
7,5121,1,100
4720,8753,1,180
8162,7946,2,150
1309,622,1,130
9270,7423,1,140
1087,2765,1,140
9503,5905,1,160
8148,2631,3,130
7570,5804,2,130
6938,8584,2,150
992,5902,2,120
4968,21,3,100
1867,9957,1,90
3895,4257,1,120
4607,9569,1,130
3536,6351,1,150
3056,9018,2,140
8638,7358,2,140
3575,8885,5,120
7345,5652,1,120
5807,4701,1,130
3100,1618,2,140
586,5059,1,160
6479,2639,1,120
1173,5417,1,170
6600,8761,1,130
6064,1284,4,150
9097,2885,1,160
7232,2381,1,110
2902,82,2,130
5361,454,1,160
2565,447,3,140
4599,3294,9,130
2732,6809,1,110
7392,2882,22,140
5906,4418,2,140
2371,299,1,110
506,7602,2,100
1770,206,2,120
833,9170,7,90
3915,1387,1,150
6093,1630,1,150
7271,2951,1,150
1072,4337,1,110
7462,7488,26,90
6466,3661,1,170
7029,758,1,140
4646,3765,1,140
7685,3781,1,140
