Number One,Number Two,Their GCD,Time Spent(nanoseconds)
7804,3694,2,7550
8715,9332,1,17420
8804,7480,4,14010
7670,231,1,610
739,5921,1,11570
46,8554,2,16430
5694,1280,2,2620
1133,1304,1,2560
4050,6761,1,12860
2894,1142,2,2230
5603,1981,1,3800
1231,3885,1,7580
8047,5062,1,9460
9585,6873,3,12870
7809,2776,1,5250
4163,1108,1,2130
7117,904,1,1760
1049,1948,1,3700
7753,7490,1,13900
9775,12,1,100
5107,9947,1,93890
3788,1643,1,3140
4410,8157,3,15150
3171,8635,1,16060
5656,906,2,1830
4122,1620,18,3110
6087,5122,1,9570
7803,392,1,860
6049,1437,1,2750
318,9930,6,18480
4518,1724,2,3320
4823,9070,1,16850
5560,1391,1,2760
3828,2086,2,4140
7222,2440,2,4620
7399,8801,1,16360
3613,248,1,530
489,342,3,710
6953,7268,1,13550
5407,9091,1,16860
9422,7380,2,13740
1562,589,1,1200
3485,7861,1,14600
4226,4930,2,9270
9968,7463,1,14490
3631,3417,1,6440
4992,7106,2,13560
8955,4227,3,8190
1336,5703,1,10630
4380,2992,4,5740
4653,9418,1,17500
3391,6828,1,12760
6648,6698,2,12470
6464,1936,16,3690
8669,9696,1,18170
2231,3387,1,6340
7506,2812,2,5360
6958,8325,1,15580
8834,7096,2,13190
4105,7972,1,14810
9028,6998,2,13060
2793,86,1,300
1676,6511,1,12110
7349,3479,1,6500
2644,7420,4,13940
1968,4923,3,9190
2226,2630,2,4970
4569,3821,1,7140
9869,6204,1,11550
4027,7927,1,14710
1139,915,1,1770
8493,1578,3,3010
6901,1825,1,3460
1960,6574,2,12250
4999,4457,1,8300
9968,4538,2,8560
4487,7230,1,37780
6400,998,2,2140
6824,1604,4,3040
4866,2087,1,3960
1221,1218,3,2370
4350,799,1,1690
9761,2463,1,4630
6737,8909,1,16550
5680,5343,1,10040
11,3635,1,6800
9065,6751,1,12630
4894,8896,2,16590
2067,6786,39,12650
9997,4825,1,8990
9442,4696,2,8730
2386,9798,2,18300
8302,4799,1,8980
1379,7780,1,14510
6888,8260,28,15410
7237,3455,1,6450
6375,6796,1,12640
3395,6029,1,11210
4696,8928,8,16810
4784,7750,2,14480
2777,4640,1,8770
396,7871,1,18970
7135,7968,1,14960
4833,2125,1,4040
5347,409,1,840
5018,2229,1,4220
9645,6394,1,11940
6556,2372,4,4510
7948,1848,4,3470
709,2090,1,4050
551,7371,1,13850
5983,3826,1,7150
4341,9491,1,17590
4236,937,1,1840
9171,7780,1,14470
6568,2651,1,5000
8624,7752,8,14590
6834,5351,1,10070
3630,4308,6,8070
1310,6777,1,12610
6105,8091,3,15110
507,8945,1,16610
7252,4940,4,9300
6726,7200,6,13820
7656,9040,8,16880
5895,8848,1,16500
9864,1354,2,2720
3110,1183,1,2290
9233,5478,1,10200
8439,8625,3,16110
8726,5871,1,10930
1744,8231,1,15260
8979,938,1,1860
1620,7595,5,14160
1899,2884,1,5490
6804,5450,2,10410
8722,3663,1,6910
9367,4053,1,7620
1089,6546,3,12180
6832,8693,1,16120
4269,3674,1,6880
7039,5239,1,9750
2504,2699,1,5060
3606,6108,6,11390
1960,1391,1,2860
9386,37,1,170
8751,8372,1,15540
7238,6050,22,11290
2670,3883,1,7260
6560,3897,1,7440
9390,8845,5,16470
4401,42,3,170
4972,9610,2,17890
395,6051,1,11250
9019,8175,1,15190
8439,5465,1,10210
4981,6127,1,11400
5483,1747,1,3290
6381,7928,1,14760
9480,9585,15,17830
6042,4983,3,9370
5241,3001,1,5620
3063,863,1,1670
4794,5472,6,10440
326,5666,2,10540
9661,9366,1,17370
8641,4898,1,9110
4139,7760,1,14520
902,5549,1,10340
4045,3887,1,7270
4691,6954,1,13030
9592,4721,1,8870
7676,1974,2,3770
8566,3326,2,6210
5586,9231,3,17160
9431,5,1,80
2106,2335,1,4400
1526,6749,1,12550
3894,5523,3,10330
214,3995,1,7500
772,8456,4,31670
3698,8137,1,15130
7266,5620,2,10550
6693,8030,1,14990
7452,2672,4,5210
4114,4598,242,8150
9019,8672,1,16120
6754,4086,2,7660
2434,1360,2,2610
4314,8646,6,16120
217,7640,1,14280
1678,1454,2,2760
8894,8626,2,16010
5144,2603,1,4910
7363,8938,1,51390
4622,2475,1,4660
3162,5649,3,10530
3040,4742,2,8840
6345,8480,5,15850
7249,3756,1,7020
5710,5737,1,10660
7005,2207,1,4190
1203,2345,1,4450
5645,5364,1,9990
5295,7525,5,14040
4527,5005,1,9460
4885,7516,1,25880
9417,7643,1,14230
5192,4459,1,8370
2488,7712,8,14350
8556,3451,1,6640
6442,8775,1,16460
1225,8964,1,16790
434,9825,1,18290
8532,146,2,380
4259,4229,1,7880
2607,1173,3,2280
7154,9828,14,18530
2848,6908,4,12890
9171,8969,1,17350
3619,1659,7,3220
6990,4345,5,8310
5340,3628,4,7030
4683,883,1,1780
7125,4,1,120
1798,6505,1,12340
6538,2346,2,4440
7100,907,1,1850
7465,3159,1,5930
8334,6000,6,11200
8726,6008,2,11170
2734,1040,2,1990
6192,7176,24,13470
246,9383,1,17420
1539,586,1,1230
7646,4148,2,7740
1010,9579,1,17810
7176,3347,1,6460
5076,2245,1,4330
6686,5508,2,10250
5255,9652,1,17980
1239,5277,3,9830
1010,4624,2,8710
4606,9781,1,18140
4548,1080,12,2070
8299,7120,1,13240
7737,1433,1,2720
542,5878,2,10940
3848,69,1,250
1932,1196,92,2180
3798,6135,3,11440
87,8810,1,16370
7326,6023,1,11420
8521,962,1,1850
8966,4736,2,8820
3997,8244,1,15360
7366,7683,1,14310
3425,1144,1,2220
3934,2233,7,4220
772,4200,4,8240
2252,8587,1,15940
9257,6856,1,12720
