Number One,Number Two,Their GCD,Time Spent(nanoseconds)
4209,1538,1,900
1776,62,2,700
7658,9099,1,800
3519,9103,1,1100
3101,4069,1,800
8692,5331,1,1000
7306,8494,2,800
3969,7235,1,800
8966,3604,2,700
2209,3653,1,800
6081,5162,1,900
836,6770,2,600
9356,3267,1,800
6614,7514,2,900
8379,7268,1,700
657,9594,9,1100
1955,4091,1,600
2004,6514,2,600
204,6749,17,500
3529,7584,1,600
544,7227,1,800
4244,3674,2,800
9650,3833,1,800
7619,4255,1,800
1934,2067,1,800
5566,7685,1,800
9872,6905,1,700
6321,393,3,1500
486,2362,2,700
2829,5876,1,700
2141,6647,1,900
4981,9393,1,800
2372,222,2,700
7221,1330,1,700
8419,7364,1,700
3111,1329,3,600
1297,2311,1,800
2077,5085,1,700
1671,1033,1,800
6240,7023,3,900
2104,5788,4,600
5468,4301,1,900
9958,6463,1,1100
8737,1064,1,900
9829,6059,1,1000
4484,7724,4,900
2410,8718,2,1000
7755,8115,15,700
1891,3337,1,700
3620,2246,2,800
1367,6573,1,900
8544,3022,2,1000
8873,9447,1,800
7848,1681,1,800
570,5267,1,600
5671,1457,1,900
6897,4411,11,800
2317,8937,331,600
7645,5250,5,700
3113,2105,1,700
1343,5868,1,1200
3331,8179,1,700
7884,4529,1,800
842,4287,1,700
255,8399,1,600
6916,6566,14,600
9454,5517,1,1000
8435,3843,7,800
8896,9469,1,700
7683,7549,1,700
3512,1151,1,700
7280,4885,5,700
1311,6443,1,800
8264,6109,1,800
8788,3985,1,800
5279,3140,1,900
6932,5904,4,800
7763,6328,7,900
8159,7946,1,900
776,5386,2,900
2664,5851,1,700
4904,2607,1,800
7074,7574,2,800
6065,5378,1,900
1296,1776,48,700
6786,5845,1,800
3509,4265,1,800
4040,1714,2,600
1142,1431,1,900
82,6877,1,900
6217,5538,1,800
773,8106,1,1500
938,7848,2,900
7788,5572,4,800
4899,528,3,1100
915,28,1,700
2667,258,3,600
7685,5100,5,800
4389,8832,3,600
9803,2550,1,1400
7672,4777,1,800
1450,5117,1,1100
7187,8290,1,900
137,1350,1,900
4550,7733,1,900
647,9357,1,800
5231,9543,1,700
8453,3485,1,900
3324,7309,1,700
3324,2180,4,1000
4350,7756,2,900
6729,581,1,1000
1947,3411,3,700
8906,4234,146,600
2910,6582,6,800
4757,749,1,900
4760,4670,10,700
5503,812,1,700
4834,2687,1,1000
22,528,22,500
8762,8750,2,800
6593,4842,1,800
389,7090,1,800
250,5857,1,600
1,796,1,700
8839,6963,1,1000
2182,3626,2,900
1605,7753,1,700
1269,3530,1,1000
9345,1617,21,900
9953,1483,1,1200
1429,2535,1,900
9734,5596,2,1000
2742,1747,1,1000
1661,9608,1,1000
3100,2681,1,700
398,3162,2,600
897,724,1,900
7360,1611,1,900
5461,3406,1,900
780,4983,3,900
2147,8920,1,1100
57,1400,1,900
7746,3533,1,900
891,8223,3,900
5738,4428,2,1000
4051,3024,1,800
8149,7163,29,800
3780,9547,1,1000
6004,9095,1,1200
6073,1855,1,1000
7520,8479,1,1000
6346,6910,2,700
2608,6195,1,1000
2586,4100,2,900
7909,4664,11,1600
7514,502,2,900
1685,7459,1,800
3303,8008,1,900
9227,6245,1,1000
2391,6586,1,900
8941,1452,1,1000
5157,469,1,600
8387,8352,1,700
1233,3681,9,700
9645,9277,1,800
6691,9967,1,900
8887,9208,1,900
5594,918,2,600
9479,9426,1,700
6668,7343,1,1000
9543,7549,1,1000
2888,8589,1,800
2843,948,1,600
5728,5942,2,900
6038,8518,2,900
3468,3027,3,800
1310,8852,2,700
2604,7375,1,800
164,740,4,800
6266,1984,2,800
7416,3913,1,700
8481,8647,1,600
6264,8100,108,600
8497,5406,1,900
8467,1866,1,800
1590,1394,2,700
1353,9421,1,800
4111,9178,1,1100
1975,1209,1,800
1105,6299,1,800
6104,7811,1,4600
382,6169,1,1100
6724,2590,2,1100
9425,4177,1,1000
9757,5329,1,900
7195,2854,1,800
8797,1133,1,700
8687,6832,7,800
1891,8746,1,700
6213,2318,19,700
5751,8061,3,800
5962,4435,1,700
3425,6724,1,700
3964,8397,1,600
3927,7652,1,700
5081,7212,1,800
5216,2611,1,600
3134,6751,1,600
1436,5905,1,1000
2322,6946,2,600
6848,3991,1,900
627,4811,1,800
168,8107,1,600
6625,6344,1,800
2245,8594,1,900
4675,2339,1,700
4975,5072,1,600
8987,677,1,800
5520,8086,2,1500
6797,1364,1,700
7655,4969,1,900
7716,4807,1,800
1359,2668,1,700
6162,8102,2,800
6817,1967,1,700
6769,7239,1,700
4928,3692,4,600
8077,4633,41,800
2422,3448,2,800
285,3206,1,600
97,5115,1,600
6623,8911,1,800
7937,7960,1,600
7500,7495,5,400
155,4469,1,500
6524,6619,1,800
2053,9578,1,600
9968,4615,1,800
8887,459,1,800
65,9902,1,600
8556,4036,4,700
5043,8485,1,700
9694,7895,1,800
3919,3393,1,700
1787,4737,1,700
4343,5741,1,900
9994,815,1,800
9969,4092,3,800
7513,5649,1,800
7235,305,5,700
8133,5665,1,900
4696,9872,8,800
5452,2994,2,800
9140,7718,2,700
5785,6571,1,700
7527,1420,1,600
4835,3251,1,600
2829,3829,1,800
6449,6881,1,700
3447,3467,1,700
5308,3440,4,800
522,379,1,700
5479,3281,1,700
9195,6992,1,700
83,5423,1,600
1304,4688,8,600
1125,3934,1,600
3106,3979,1,800
8119,163,1,700
1712,9428,4,600
3696,2321,11,700
8079,242,1,700
3267,4286,1,800
9438,2390,2,800
9075,9468,3,600
6656,3010,2,700
5039,7071,1,600
783,9463,1,600
2822,3702,2,800
4095,9236,1,700
731,2763,1,900
8649,4336,1,800
2749,9248,1,1700
3414,552,6,600
8314,5631,1,700
9853,5939,1,700
1503,5437,1,900
2390,1392,2,700
9068,5011,1,700
1116,7927,1,800
741,393,3,700
6131,6580,1,800
515,9911,1,700
5315,2966,1,700
8161,2469,1,700
3831,720,3,600
3027,3157,1,600
3339,9544,1,700
1756,7723,1,700
3377,9594,1,1000
1882,7079,1,900
3894,8530,2,800
5846,8623,1,800
5570,4208,2,700
1000,8201,1,600
2879,4590,1,1100
1453,5168,1,800
350,9178,2,700
1075,8900,25,700
1141,4662,7,800
3332,4694,2,700
7316,2238,2,800
5793,9077,1,1000
6075,5755,5,700
4393,1122,1,700
5195,1109,1,800
3379,3168,1,600
1959,4707,3,900
3428,4380,4,800
7456,7387,1,800
4130,893,1,600
8927,1924,1,700
3363,7257,177,500
3060,8964,36,600
7143,8556,3,800
5629,5471,1,800
7626,3023,1,600
6343,3247,1,800
1545,6502,1,800
6816,9419,1,1100
3031,7952,7,800
6513,6249,3,700
5220,8123,1,1300
9369,2762,1,800
7663,7582,1,700
6593,5130,19,700
603,2736,9,600
9414,4282,2,700
4739,9272,1,700
9037,6701,1,1000
7959,982,1,700
4329,8869,1,700
8227,958,1,900
6795,281,1,800
7629,4482,3,700
4647,9558,3,800
7767,1181,1,1400
8432,4677,1,700
8428,6991,1,800
3743,1279,1,800
9035,9044,1,600
1230,3679,1,700
5945,6807,1,900
5471,6943,1,1000
6715,813,1,900
9457,6641,1,1000
9620,5495,5,600
91,9982,7,900
229,1782,1,800
8226,6453,9,1000
2980,423,1,600
488,4352,8,600
7949,9388,1,800
4576,2642,2,800
5361,367,1,1100
5507,3367,1,800
8164,4158,2,700
8367,1392,3,500
688,899,1,1000
2724,8526,6,800
3162,1476,6,700
368,5430,2,800
5294,9454,2,700
5792,3995,1,900
5110,9318,2,700
1523,4462,1,800
1063,9417,1,800
5613,8425,1,1300
843,4984,1,1000
4979,225,1,700
279,9643,1,900
2532,1600,4,800
4575,4863,3,700
9490,1076,2,900
1413,3408,3,700
3962,1876,14,600
4791,386,1,600
3098,427,1,1300
5096,7057,1,700
1492,9293,1,800
9864,8674,2,800
424,9488,8,800
4455,4049,1,1000
4694,4221,1,800
8194,3782,2,500
1635,4502,1,700
3203,4004,1,600
7327,3238,1,1000
3656,8063,1,800
1948,1823,1,800
2348,9833,1,600
4054,3506,2,800
1450,5795,5,500
4055,9330,5,700
8206,5474,2,600
355,860,5,700
