Number One,Number Two,Their GCD,Time Spent(nanoseconds)
2388,6736,4,30300
4907,215,1,3100
6003,864,9,11500
7448,3228,4,43700
4033,9501,1,50600
9453,1081,23,14200
7256,5667,1,109000
6388,6040,4,77700
7559,4868,1,61000
7511,7415,1,92600
7728,9266,2,96600
7087,2636,1,33200
3517,6064,1,44200
7376,9827,1,98800
5715,1191,3,15600
6138,5668,2,72000
3829,8766,1,50100
2210,5202,34,28800
8092,6692,28,84000
3391,9245,1,42700
8811,7433,1,102600
5413,2389,1,30200
4055,6431,1,53000
8448,5514,6,69300
6265,5961,1,74300
3789,2510,1,38200
7338,9837,3,91100
9976,6902,58,92400
2030,5682,2,25600
9037,9973,1,113500
7594,7967,1,95400
4925,3447,1,43900
625,8308,1,8200
2765,6460,5,35200
6738,4367,1,55100
879,7844,1,11600
8105,4436,1,64700
7179,5609,1,70500
2663,241,1,3400
6777,3616,1,48200
3413,1087,1,14000
4319,5216,1,54200
9465,9052,1,115000
9088,9418,2,148000
6457,6258,1,78100
3274,8566,2,41100
8433,1931,1,24200
4205,1528,1,19500
8125,8642,1,101300
8562,9963,3,106600
6537,1647,3,20700
2755,1973,1,24900
1545,2261,1,47500
4367,6136,1,54900
3227,9299,1,40600
3556,1635,1,20700
7511,2951,1,39200
1713,9156,3,21900
3728,7779,1,46600
8079,2741,1,34300
7941,2832,3,36100
9324,247,1,3900
9641,5433,1,67600
2661,9335,1,39900
2118,8879,1,26700
2607,8358,3,32900
3122,9189,1,39200
2148,1130,2,14700
1837,3214,1,23200
6977,245,1,3500
9014,3327,1,41900
7914,970,2,12400
5375,8617,1,67300
4439,6907,1,55900
5223,1813,1,23200
131,9168,1,2200
6148,5456,4,69000
5389,5551,1,76500
9716,8166,2,103200
1377,36,9,1200
3363,7021,59,43000
1397,2763,1,20700
3773,3254,1,40800
5785,1123,1,14400
3824,6462,2,47900
9642,1425,3,18100
8651,7564,1,103000
3333,735,3,9600
4935,936,3,12200
3496,5638,2,43700
1289,2629,1,16400
8035,4230,5,52600
4679,4277,1,53200
485,6296,1,6400
5255,3070,5,38400
2487,1724,1,21600
6701,2191,1,27500
8536,2715,1,34200
2615,2124,1,26600
4449,6620,1,55500
4341,8510,1,60600
9343,5059,1,62900
512,6427,1,6800
7744,3956,4,49800
6830,6388,2,80400
2448,7066,2,30800
5160,3605,5,47300
8920,6956,4,90000
7277,9965,1,100200
5988,9018,6,75200
2214,1708,2,21900
7883,6069,1,76300
3676,7671,1,45800
3384,4054,2,42400
2338,6580,14,29800
312,1591,1,4200
7177,3524,1,43800
303,7846,1,4100
5248,3723,1,53600
3637,3266,1,40800
4539,5234,1,56500
3639,191,1,2800
6019,9805,1,74800
2703,4572,3,34000
2594,9252,2,32600
7343,6134,1,76500
3833,3181,1,40100
433,8598,1,5700
6536,4474,2,64300
7591,194,1,3000
2618,8795,1,33000
3932,2305,1,29100
1322,2913,1,16700
3860,50,10,1100
2685,4134,3,34000
3340,9673,1,41800
6232,2121,1,27100
5787,9284,1,72700
3026,3753,1,37900
3500,8429,1,43700
7732,7099,1,95900
7434,2144,2,27200
7876,9930,2,97900
1303,2292,1,16700
1470,7248,6,18800
6708,8637,3,83400
6356,4767,1589,59500
6609,5657,1,70600
3046,586,2,7700
6688,1288,8,17000
2596,6059,1,39000
3639,123,3,1900
8139,5477,1,69600
2062,270,2,3700
7196,7266,14,92700
7492,3093,1,39400
2229,6131,1,28300
4305,413,7,5900
7008,3970,2,50200
1627,7541,1,21000
9364,1900,4,25100
2247,7585,1,30200
8860,1839,1,23500
9209,1232,1,32800
2387,6075,1,30400
5766,4374,6,54900
4790,1046,2,13400
1431,8063,1,18100
9082,7580,2,94400
2532,7770,6,32300
396,8384,4,5400
5126,2758,2,34600
6543,6557,1,81700
3188,4644,4,40600
6937,3131,1,45500
6020,4391,1,58000
2494,6589,1,31600
2089,7929,1,26500
5976,4168,8,53100
1637,3766,1,20800
7753,302,1,4100
6784,2131,1,27000
135,2242,1,2200
7046,2433,1,31500
3133,350,1,4800
9271,1932,1,25000
643,6943,1,8600
394,7095,1,5600
1527,7901,1,20000
7930,6672,2,92900
4634,4697,7,59500
3713,8776,1,47100
8873,8692,1,109700
6724,282,2,4100
4622,8535,1,64400
23,727,1,600
205,4095,5,3200
7073,1167,1,15200
5992,7932,4,75900
5164,2250,2,28700
7967,2041,1,26400
1047,5515,1,13400
8166,3788,2,48000
793,411,1,5700
3813,7255,1,50000
6214,4398,2,55500
752,4906,2,10100
5033,5518,1,63100
7455,8707,1,93000
7718,7025,1,94900
9197,1483,1,19000
1376,4297,1,17800
2903,4088,1,36900
3884,4089,1,48900
9133,7720,1,100200
694,8194,2,9500
1775,2101,1,23400
8263,8300,1,109200
7814,3054,2,39800
5242,9081,1,75400
9103,945,1,12700
8590,1963,1,25900
7168,1055,1,16800
475,2284,1,6500
4297,625,1,8500
6192,1461,3,58300
9548,183,1,6800
7388,3340,4,108800
633,348,3,5200
3320,8167,1,43900
212,7763,1,3300
1996,2029,1,26100
4550,2119,13,31800
2102,7782,2,44400
3771,7924,1,49700
9297,6321,3,82900
6651,8600,1,87300
4048,4243,1,53300
7410,5291,13,69500
918,9688,2,12400
7963,6258,1,97900
220,2449,1,3200
1261,179,1,2800
506,171,1,2800
5934,9200,46,78300
4138,1040,2,13800
1076,9123,1,14700
2860,6911,1,37700
3329,7152,1,44700
1006,2492,2,13700
7891,76,1,1500
1297,656,1,9100
4942,4024,2,56300
2117,2799,1,28300
3065,5996,1,40400
8229,2655,3,35400
4886,9525,1,76500
8483,9892,1,111200
6530,2893,1,61200
9908,6952,4,87000
9253,6356,1,79700
5120,4373,1,55400
3822,6334,2,55600
7528,9723,1,93900
5360,1266,2,16500
7414,5708,2,71600
5293,2077,67,26300
6678,3863,1,48700
6804,5121,9,67700
4924,1935,1,24400
9626,7835,1,105200
8968,8674,2,108800
6427,1736,1,22000
2795,1970,5,24900
6189,2250,3,28200
5924,2879,1,36000
5117,728,7,9500
6400,9678,2,79900
6848,6392,8,80400
2533,43,1,900
482,8596,2,6500
7630,9582,2,106600
1249,8529,1,16100
6924,4290,6,54000
2859,8579,1,36100
6064,674,2,8800
5353,1794,1,23100
4171,4393,1,52600
9419,6897,1,89100
7609,2774,1,35100
9416,6533,1,89900
7150,2659,1,33700
8690,7949,1,99100
9674,1659,7,21100
2717,4000,1,34500
3264,6442,2,41100
8290,2257,1,28500
3242,2044,2,26100
7876,7905,1,98500
2695,7398,1,41100
8219,1332,1,17200
1090,8093,1,14300
9216,5786,2,73300
