Number One,Number Two,Their GCD,Time Spent(nanoseconds)
8831,8805,1,77000
4326,7408,2,38100
1113,4829,1,16300
5963,5547,1,17400
6675,8493,3,26500
3517,4607,1,14800
1836,8951,1,27700
7533,5170,1,16600
7493,2067,1,6900
4572,9261,9,29000
7430,2612,2,8500
1646,5506,2,17200
558,3927,3,12800
6150,939,3,3900
522,5325,3,17000
6828,5463,3,17500
8784,5013,9,16400
9606,2518,2,8200
6562,4301,17,13700
190,2686,2,8800
4615,9056,1,36700
9578,2841,1,9400
3082,9382,2,29200
5120,8779,1,27300
7876,4569,1,14800
829,1818,1,6300
7029,587,1,2700
8409,3261,3,10700
5587,4659,1,14900
9015,3377,1,11000
344,4991,1,16300
8019,8303,1,26300
4452,3038,14,10400
9164,9614,2,30600
9058,8296,2,65500
2849,5588,11,17900
2771,1201,1,4400
7569,6521,1,22400
7983,6617,1,21300
7540,7967,1,28000
4622,7993,1,27300
8433,4417,1,14600
3156,1214,2,4900
8885,2811,1,9500
5324,3990,2,13200
5166,2278,2,8200
2481,2829,3,9800
276,9466,2,29700
5446,4544,2,15300
8398,7267,13,24400
603,4177,1,13400
384,5734,2,19100
871,6032,13,19500
8461,9954,1,31500
3048,5016,24,16500
2400,3455,5,11700
4762,7811,1,24600
9075,2133,3,18400
7821,9964,1,31100
7790,5683,1,18800
963,7725,3,24400
3828,6693,3,21100
2530,5435,5,20900
8799,3164,7,10200
3822,3434,2,11500
883,4134,1,13800
2672,7242,2,24000
1837,3417,1,11500
8282,4889,1,26300
6964,8847,1,27500
5048,5537,1,17200
1874,1496,2,5100
5727,3028,1,10100
7155,5862,3,18900
1587,1257,3,4600
4041,9081,9,28700
8055,1313,1,4800
9169,5099,1,16300
6277,9607,1,30000
6706,4255,1,14200
5890,7287,1,23700
5345,5085,5,16300
2389,9738,1,31700
3810,5310,30,17200
3604,4950,2,16600
8604,7457,1,23800
6067,4769,1,15700
341,5089,1,17700
1854,2815,1,9300
4953,2290,1,7600
6888,994,14,4100
3391,8148,1,26100
6668,9385,1,29600
6194,7720,2,25900
1478,3901,1,12900
1003,6213,1,19400
1868,5952,4,19000
7679,5667,1,47900
6433,4930,1,38900
5918,3291,1,25900
1700,9915,5,74600
5795,1619,1,13600
7385,990,5,20300
7104,343,1,3900
6882,1622,2,13100
8794,5239,1,35400
9096,2433,3,8900
2292,4289,1,13700
3794,6861,1,21400
6544,4514,2,14700
1838,1100,2,3900
6624,5432,8,18100
9716,3531,1,11500
5348,715,1,2900
8112,2248,8,8000
9794,8615,1,27000
8954,3154,2,10300
2926,4253,1,13600
859,540,1,2300
2328,6908,4,21600
1369,8264,1,25900
3978,6520,2,20800
8170,9305,5,29500
7013,7823,1,24600
8884,7477,1,23800
5424,7921,1,24800
1329,5124,3,16700
3141,1958,1,6600
7015,4348,1,14100
9371,5055,1,16000
1149,7300,1,24100
1977,8865,3,28200
3380,1102,2,4400
1137,1524,3,5500
2945,2772,1,17500
8431,1533,1,5300
43,1915,1,16900
5036,3364,4,10900
2410,8259,1,25800
5069,9639,1,30600
7688,280,8,1500
3379,405,1,2200
4212,9519,3,30000
2630,9714,2,62800
1218,9215,1,70400
7194,3593,1,43200
7455,6133,1,46300
3286,6916,2,54300
5129,7275,1,64300
7445,7376,1,56000
5773,2391,1,18800
9861,8564,1,65600
8308,3674,2,28600
2418,5947,1,45000
9865,3420,5,26000
2146,1492,2,11400
8059,2284,1,17800
1487,3324,1,25400
9470,7584,2,72600
6768,6793,1,29900
4211,6136,1,19600
1541,2592,1,9200
4699,2418,1,7900
3110,4959,1,15800
8920,1944,8,6700
9060,7104,12,22800
5723,5948,1,18700
8207,7349,1,22900
1144,9660,4,30900
8627,1287,1,4500
662,8213,1,39400
2271,6140,1,19200
1294,315,1,1500
8546,9455,1,54400
9485,2561,1,8700
5148,4950,198,15200
9365,7996,1,25400
1482,216,6,22900
6310,627,1,2800
6879,2756,1,9200
4928,5905,1,18800
3950,1010,10,3700
2220,3383,1,11600
3565,2811,1,9200
1477,9129,1,28800
5860,1865,5,6300
7054,7030,2,21800
1587,5153,1,16300
7501,7252,1,22700
5570,9651,1,30000
3321,7182,27,22800
4958,8031,1,25100
1906,4303,1,13600
5401,8320,1,26600
61,155,1,2100
2856,3021,3,10600
1143,6075,9,20300
3278,2444,2,8400
8714,2887,1,9500
479,4876,1,15700
5961,4888,1,15600
6159,6300,3,21100
5782,9601,1,29900
3784,896,8,4000
6987,384,3,1900
4461,2078,1,6900
5137,2722,1,8900
4186,9557,1,29900
3424,3947,1,13700
1064,9148,4,28600
4036,6138,2,20200
3594,8432,2,29600
9467,6682,1,28600
1306,2908,2,12900
9367,7270,1,30800
2513,9859,1,45800
1816,6861,1,75700
2063,4018,1,18100
72,9161,1,37800
1034,2795,1,23400
2901,3169,1,13800
2118,4772,2,20600
7157,6814,1,47600
113,4218,1,18800
4373,307,1,2100
9713,7931,11,32900
3809,854,1,5000
4947,4298,1,18900
7917,9779,7,40600
7216,44,44,800
5538,1628,2,7600
325,235,5,1700
6384,3129,21,41500
4938,1647,3,5900
1169,4843,167,14800
6242,740,2,2800
4094,2202,2,7400
7242,5164,2,16600
2997,7994,1,25000
2480,2079,1,7600
5226,7568,2,24000
8046,7922,2,24900
7687,9485,1,29200
2798,8631,1,26900
5051,1052,1,3700
5172,5391,3,17200
1289,8438,1,26100
1807,2954,1,9600
9617,7532,1,31600
7944,5753,1,24600
8350,1911,1,8800
4870,72,2,1300
331,4294,1,18300
7901,1396,1,6300
9070,5033,1,25500
6094,6339,1,84200
6380,2577,1,12000
589,1114,1,5500
9283,3116,1,14700
9510,769,1,4100
9140,1746,2,8100
3892,3402,14,18300
6797,5740,7,24300
1178,6844,2,29000
7121,6579,1,27500
3084,2869,1,13100
2856,4630,2,19800
3061,7739,1,32500
1998,4248,18,19200
26,6369,1,26800
8611,4085,1,18000
3930,5239,1,22500
5982,2980,2,13500
993,9167,1,37900
6627,4310,1,18800
4640,1660,20,8000
1850,6364,74,26300
2282,4944,2,21400
7026,4726,2,21000
5769,5438,1,23200
4179,1841,7,8300
898,4002,2,17300
7094,1488,2,7200
762,492,6,2900
4123,6295,1,31200
540,2288,4,10400
1593,5468,1,22900
