Number One,Number Two,Their GCD,Time Spent(nanoseconds)
9719,415,1,1400
662,5986,2,1300
1283,2765,1,2300
2592,6021,27,1400
850,2642,2,1400
1259,285,1,1900
2238,3574,2,1300
6576,8283,3,1700
2271,1647,3,1300
3811,5768,103,1200
1568,6546,2,1400
2527,8344,7,1700
377,289,1,9500
2662,9753,1,1400
6831,544,1,1600
3756,4568,4,1200
8188,500,4,1700
4282,6400,2,1400
1545,5289,3,1300
4209,1538,1,1400
1776,62,2,1400
7658,9099,1,1700
3519,9103,1,1400
3101,4069,1,1600
8692,5331,1,1500
7306,8494,2,1700
3969,7235,1,1600
8966,3604,2,1500
2209,3653,1,1400
6081,5162,1,1400
836,6770,2,1200
9356,3267,1,1700
6614,7514,2,1400
8379,7268,1,1400
657,9594,9,1400
1955,4091,1,1400
2004,6514,2,1400
204,6749,17,1100
3529,7584,1,1300
544,7227,1,1500
4244,3674,2,1400
9650,3833,1,1400
7619,4255,1,1400
1934,2067,1,1300
5566,7685,1,1300
9872,6905,1,1200
6321,393,3,1100
486,2362,2,1100
2829,5876,1,1400
2141,6647,1,1900
4981,9393,1,1500
2372,222,2,1400
7221,1330,1,1100
8419,7364,1,2000
3111,1329,3,1000
1297,2311,1,1500
2077,5085,1,1200
1671,1033,1,1300
6240,7023,3,2000
2104,5788,4,1300
5468,4301,1,1600
9958,6463,1,1500
8737,1064,1,1700
9829,6059,1,1200
4484,7724,4,1300
2410,8718,2,1500
7755,8115,15,2300
1891,3337,1,1000
3620,2246,2,1500
1367,6573,1,1400
8544,3022,2,1600
8873,9447,1,24500
7848,1681,1,1700
570,5267,1,1400
5671,1457,1,1300
6897,4411,11,1300
2317,8937,331,1200
7645,5250,5,1200
3113,2105,1,1100
1343,5868,1,1700
3331,8179,1,1200
7884,4529,1,1200
842,4287,1,1100
255,8399,1,1400
6916,6566,14,1200
9454,5517,1,1200
8435,3843,7,1200
8896,9469,1,1700
7683,7549,1,1100
3512,1151,1,1700
7280,4885,5,1100
1311,6443,1,1900
8264,6109,1,1200
8788,3985,1,1500
5279,3140,1,1900
6932,5904,4,1200
7763,6328,7,1300
8159,7946,1,1200
776,5386,2,1300
2664,5851,1,1300
4904,2607,1,1500
7074,7574,2,1600
6065,5378,1,1100
1296,1776,48,900
6786,5845,1,1300
3509,4265,1,1400
4040,1714,2,1100
1142,1431,1,1700
82,6877,1,1900
6217,5538,1,1600
773,8106,1,1300
938,7848,2,1300
7788,5572,4,1500
4899,528,3,1400
915,28,1,1300
2667,258,3,900
7685,5100,5,1100
4389,8832,3,1500
9803,2550,1,1300
7672,4777,1,1000
1450,5117,1,1300
7187,8290,1,1200
137,1350,1,1300
4550,7733,1,1200
647,9357,1,1200
5231,9543,1,1500
8453,3485,1,1700
3324,7309,1,1200
3324,2180,4,1300
4350,7756,2,1700
6729,581,1,2500
1947,3411,3,1200
8906,4234,146,1400
2910,6582,6,1700
4757,749,1,1200
4760,4670,10,1000
5503,812,1,1400
4834,2687,1,1100
22,528,22,1100
8762,8750,2,1200
6593,4842,1,1500
389,7090,1,1200
250,5857,1,1300
1,796,1,1300
8839,6963,1,1300
2182,3626,2,1300
1605,7753,1,1500
1269,3530,1,1300
9345,1617,21,1600
9953,1483,1,1900
1429,2535,1,1500
9734,5596,2,1400
2742,1747,1,1200
1661,9608,1,1700
3100,2681,1,1100
398,3162,2,1100
897,724,1,1100
7360,1611,1,1400
5461,3406,1,1400
780,4983,3,1300
2147,8920,1,1500
57,1400,1,1500
7746,3533,1,1300
891,8223,3,1500
5738,4428,2,1200
4051,3024,1,1400
8149,7163,29,1100
3780,9547,1,1400
6004,9095,1,1600
6073,1855,1,1600
7520,8479,1,1900
6346,6910,2,1800
2608,6195,1,1500
2586,4100,2,1500
7909,4664,11,1700
7514,502,2,1400
1685,7459,1,1100
3303,8008,1,1700
9227,6245,1,1900
2391,6586,1,1300
8941,1452,1,1600
5157,469,1,1000
8387,8352,1,1300
1233,3681,9,1400
9645,9277,1,1300
6691,9967,1,1200
8887,9208,1,1400
5594,918,2,1200
9479,9426,1,1600
6668,7343,1,1500
9543,7549,1,5200
2888,8589,1,1100
2843,948,1,1000
5728,5942,2,1000
6038,8518,2,2100
3468,3027,3,1300
1310,8852,2,1300
2604,7375,1,1100
164,740,4,900
6266,1984,2,1300
7416,3913,1,1200
8481,8647,1,1000
6264,8100,108,1100
8497,5406,1,1100
8467,1866,1,1500
1590,1394,2,1200
1353,9421,1,1100
4111,9178,1,1200
1975,1209,1,1300
